It might be the best sit down food I've had in the area, so if you are going to the upright citizen brigade, or the garden, it could be just the place for you.	food#1	place#0
Hostess was extremely accommodating when we arrived an hour early for our reservation.	staff#1	miscellaneous#0
We were a couple of minutes late for our reservation and minus one guest, but we didn't think we deserved the attitude we got from the hostess.	miscellaneous#0	staff#-1
Though the service might be a little slow, the waitresses are very friendly.	service#-1	staff#1
Although we arrived at the restaurant 10 min late, the hostess did not have a table for us.	staff#-1	miscellaneous#0
I like the smaller portion size for dinner.	miscellaneous#-1	food#0
The bill was surprisingly inexpensive considering we each had appetizers, an entree, dessert and drinks (alcoholic and non) we also had 3 rounds of shots for the entire table.	food#0	price#1	miscellaneous#0
) other food is served in too-small portions, but at least it leaves room for dessert.	miscellaneous#-1	food#0
It was very loud, I felt too crowded, the man chair's next to me made it impossible for the waiters to pass.	miscellaneous#0	staff#-1
After ordering drinks, we both decided on the Paella Vallenciana, brought out on hot plates.	food#0	miscellaneous#1
Portions are fairly generous and the staff brings out multiple little bites and treats throughout dinner.	miscellaneous#1	staff#1	food#0
I had to ask for bread for the table (several times).	food#-1	miscellaneous#0
Specialty drinks--alcoholic and non--arrive in skull mugs or mini-canteens, nifty take-home souvenirs.	food#0	miscellaneous#1
After reading other reviews I was expecting poor service and ambience but was pleasantly surprised by our more than helpful waiter.	service#-1	staff#1
I was told by the hostess that a specific table would be mine once the customers left and I waited 45 minutes for that to happen.	staff#-1	miscellaneous#0
Towards the end of our meal, a server came out, apparently our orders had been double-filled.	food#0	staff#-1
The Food The casual Middle Eastern menu looks familar, but the food--made to order in the open kitchen--is a notch above its peers.	menu#1	place#0
Upon entering, I was impressed by the room while the food on other peoples' tables seemed enticing.	food#0	place#1
The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.	staff#1	food#0
I found that the food variety was great, and the waitress was very accommodating to my vegan boyfriend describing all items' ingredients and how you may request more of what YOU like, creating a unique experience.	food#1	staff#1	ambience#0
Came recommended to us, but we found the food to be so-so, the service good, but we were told we could not order desert since the table we were at had a reservation waiting.	food#-1	service#0
Our waitress couldn't tell us what was in the seafood special, forgot to put in our oyster order so it came at the same time as the main meals, wasn't able to provide a confident recommendation from the menu, and had to be flagged several times for drinks.	staff#-1	food#0	menu#0
I went back (with my cold soups) They said they would have to make me another dish since they couldn't scrape off the unwanted ingredients.	food#0	ambience#-1
Server's were extremely nice, yet were socializing too much with friends that were having drinks at the bar and it was difficult to get their attention.	staff#1	place#0
And there wasn't much room for the people at the bar to stand either, as the restaurant attempted to squeeze as many tables into the restaurant as they could, forcing those dining to have to shift in their chairs every time a waiter attempted to get by.	place#0	food#0	miscellaneous#0	staff#-1
Went for an early V-Day dinner, only to be highly disappointed by the service.	food#0	service#-1
Before our food arrived I asked our waitress if we could be moved and she just stared blankly at me.	food#0	staff#-1
The service is excellent -- the staff is attentive and the waitress was well-informed about the menu.	service#1	staff#1	menu#0
I still go often, but the prices went up a little and the service is even slower now that they're always full during dinner hours.	price#-1	food#0
It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal.	food#0	staff#1
its a cool place to come with a bunch of people or with a date for maybe a mild dinner or some drinks.	place#1	food#0
The final blow was when the waiter brought us the check before we had even finished dessert--never mind that the only reason we were taking a long time to finish the meal was because of the extreme delay in the service of our food.	staff#-1	food#0	service#-1
worst margaritas in town,if you are going to order a battle of (white wine)they served hot.	food#-1	service#0
They served the main course before the appetizers eventhough we asked for the latter first, to which our waiter responded that they don't serve them separately without telling us beforehand while ordering.	food#0	staff#-1
After requesting to be seated at an empty table, the waitress (who was so terribly burdened when we asked to move from the bar to the table to have dinner) asked us to get up from our seats and wait for a smaller table because a party of 3 just walked in.	staff#-1	place#0	food#0
The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.	place#-1	menu#0
Although the service can be a bit brusque at times, the food is always good, hearty and hot.	service#-1	food#1
The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.	food#1	menu#0
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.	ambience#0	food#1
Be warned that this place can get pretty crowded, though the $3 bloody mary's at the bar and the killer DJ make the wait more than bearable.	place#0	staff#-1
As if that wasnt enough, after another in the group mentioned that a portion of the sushi on her plate was not what she had ordered, the waiter came back with chopsticks and started to remove it (as she was eating!)	miscellaneous#0	food#0	staff#-1
We started with the guacamole and this is by far the best I've ever had bar none.	food#1	place#0
If you eat here, just keep in mind that the specials are much higher than the regular menu when ordering.	food#1	menu#0
The waiter was just throwing our dishes on the table without even clearing the appetizer plates and then they started clearing the food when we weren't even finished yet.	staff#-1	food#0	miscellaneous#0
Before we can even order desert, the waitress comes and tells us we have to leave because the host wanted our table.	staff#-1	miscellaneous#0
the tables are in the back and the ambience was less to be desired.	place#0	ambience#-1
While service is still ok, the food has been not up to par on my last few visits.	service#1	food#-1
After the wine experience, I actually expected worse than what was served.	food#0	service#-1
I dined in the Main Dining Room which is surrounded by authentic Spanish decorations.	place#0	ambience#1
Our server did not check on us, ask if we needed anything, refill our water or get our dessert order right.	staff#-1	food#0
On ouor visit, our reservation was ignored and then we were asked to move from our seats at the bar, where we were told to wait, because we were not drinking enough.	miscellaneous#-1	place#0
The food at Cafe Asean is to die for, and the prices are unmatchable.	food#1	price#-1
The Scene The entrance leads into a dim, narrow bar decorated with sake bottles, exposed brick and a beautiful arched wooden ceiling.	miscellaneous#1	place#-1	food#0
It also has great ice cream and spumoni ices.	food#1	miscellaneous#0
However, the drinks are very good and this place is alright for brunch, if you don't mind sitting in a very cramped spot and/or waiting on line.	food#1	miscellaneous#-1	service#-1
The ONLY negative was when we asked the waiter to secretly bring birthday cake and some other desserts for the table.	staff#-1	miscellaneous#0
Sometimes, the take-out and seating lines can be long, but the staff help move things along.	food#0	miscellaneous#0	staff#1
I went to Sushiden on a Friday night around 8:00, the place was pretty empty, we had reservations, but we didnt need them.	place#-1	miscellaneous#0
THE DECOR HAS BEEN UPDATED TO A FULL BLOWN RESTAURANT BUT THE QUALITY AND THE QUANTITY HASN'T CHANGED.	ambience#1	miscellaneous#-1
A+  was planning a party for my staff, and was treated rudely by another restaurant when trying to add more people to reservation (a simple no would have worked).	staff#-1	miscellaneous#0
The Food Regulars swear by the tamales, which are spongy, well-seasoned and pulled from steaming crocks on the counter.	food#1	place#0
Unfortunately, the food along with the unhelpful service doesn't make up for the atmosphere.	food#0	service#-1	ambience#0
They expanded the seating with a cozy new back section, added some great new dishes (I had the most fantastic j erk Shrimp and exciting maize crusted salmon) but kept everything that was good (amazing staff and Mac Jack!)	place#0	food#1	staff#1
Not to mention that the busboy spilled 2 glasses of water on my back and the Manager was NOWHERE TO BE SEEN.	staff#-1	food#0
Smiling servers quiz diners with movie trivia, but forget to fill their water glasses.	staff#1	price#0	miscellaneous#0
The waiter was miffed when we decided to order dessert (and I must say we were eating the courses as they arrived, no lingering).	staff#-1	food#0
Heck even if they had awful service and atmosphere I would still come to this place for their dumplings, luckly that is not the case.	service#-1	ambience#-1	food#1
Chef Anthony is warm and is always fixing up something unique and tasty in the kitchen to send to your table.	staff#1	miscellaneous#0
The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.	menu#0	food#1
Had an after-work drink at the bar with a date, loved the place so much we came back for brunch the next morning.	food#0	place#1
The food was served promptly and was really hot.	food#1	service#0
The kitchen is open and surrounded by bar seating (the only kind of seating), and they have a nice set-up where the waitress stays behind the bar and the chefs deliver your food after you have watched them prepare it.	place#1	service#0	staff#1	food#0
I had been to Blue Fin previously for drinks and appetizers and thought the atmosphere was very good (expecially for people watching).	food#0	ambience#1
The bar downstairs is a lot of fun, so if you get stuck waiting, just have drink.	service#-1	food#0
The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed.	ambience#1	place#-1
We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.	food#0	service#-1
Although our waitress was pleasant and accomdating, the overpriced food was quite the opposite.	staff#1	food#-1
Their desserts were limited - I mean REALLY limited to 2 items (nothing like the online menu).	food#-1	menu#0
My group got charged an outrageuos $63/person for a family-style dinner, including a 23% tip added for the horrible service.	food#0	service#-1
Bartenders look like model wannabes and threw out my friend's beer before he was finished (about 1/4 left).	staff#-1	food#0
Perhaps if the owner manager would concentrate more on service then acting as a dj this restaurant would run better.	staff#0	service#-1
The food at Parish was tasy and well-prepared, but the portions were absurdly miniscule, especially in proportion to the prices.	food#1	miscellaneous#-1	price#-1
There is actually space to breathe and the decor sets the tone for an intimate dinner.	place#0	ambience#1	food#1
The atmosphere was really nice and inviting but our waiter was awful!	ambience#1	staff#-1
I always listen to the waiters' recommendations, because they're always awesome - either a special or just one of their faves off the menu.	staff#1	menu#0
The decor is sparse and elegant, the service warm (though my waitress was occasionally difficult to find), and the sushi fresh.	ambience#1	service#1	staff#-1
I waited 15 minutes for the waiter to take the bill from me and finally I got fed up with him walking past our table I had to start waving the bill in the air and finally some other waitress took our bill.	staff#-1	ambience#0
Yes, the wait is long and ridiculous as times, especially as you watch others gobble down their food.	service#-1	food#0
considering the prices on the menu, i'd rather go somewhere else where they know how to refill water and real chairs for everyone, something you can even get at mcdonald's.	price#0	menu#0	food#0	miscellaneous#1
It was practically impossible to get the waitstaff's attention to order another bottle of wine.	staff#-1	food#0
After spending over $500 on a business dinner, a manager knelt down at our table and asked us to quote, wrap it up and move to the bar.	food#0	staff#-1	miscellaneous#0	place#0
Friendly staff happily accepted a reservation (for 10), and when only 6 showed up, they couldn't have been more understanding!	staff#1	miscellaneous#0
At our table we didn't get any bread until 30 minutes into the seating, which may I emphasize the waiter took really long to come to our table, about 20 minutes.	place#0	staff#-1
Recently I purchased a dish to go, and found that all of my meal contained just one large piece of ginger root.	food#0	miscellaneous#-1
The numbness in your lower legs from sitting on old wood chairs is more than compensated by the wonderful food.	miscellaneous#-1	food#1
